レースID(新),レース名,発走時刻,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード,着,血統登録番号,重量C,所属,調教師,所属,生産者,産地,種牡馬,母名,母父名
202608160101080101,未勝利・牝,10:00,３歳,ダ,1700,1,1,, テンレッドサン,牝,3,坂井瑠星, 55 ,5,107.93,2,77.9,2, 0.32, 0.3,,,,,,未勝利,1,12,023,,2023104101,3,(栗),西園翔太,栗東,佐藤牧場,新冠町,ヘニーヒューズ,キンショーユキヒメ,メイショウサムソン
202608160101080102,未勝利・牝,10:00,３歳,ダ,1700,2,2,, ルナティックブルー,牝,3,小沢大仁, 55 ,6,108.85,6,51.2,7, 1.24,27.0,,,,,,未勝利,1,12,023,,2023106517,3,(栗),今野貞一,栗東,大北牧場,浦河町,リオンディーズ,オーシャンティ,ダノンシャンティ
202608160101080103,未勝利・牝,10:00,３歳,ダ,1700,3,3,, ウォータースパウト,牝,3,吉田隼人, 55 ,9,108.29,4,69.6,5, 0.68, 8.6,,,,,,未勝利,1,12,023,,2023105555,3,(美),小笠倫弘,美浦,那須野,新冠町,ルヴァンスレーヴ,シネマソングス,ハーツクライ
202608160101080104,未勝利・牝,10:00,３歳,ダ,1700,3,4,, アインプロージット,牝,3,川又賢治, 55 ,3,110.55,14,22.8,12, 2.94,55.4,,,,,,未勝利,1,12,023,,2023104415,3,(美),小笠倫弘,美浦,ノースヒルズ,新冠町,クリソベリル,ユナリオンス,Shamardal
202608160101080105,未勝利・牝,10:00,３歳,ダ,1700,4,5,, ルージュリヴィエラ,牝,3,横山和生, 55 ,6,107.61,1,74.9,3,-0.32, 3.3,,,,,,未勝利,1,12,023,,2023105608,3,(美),嘉藤貴行,美浦,奥山ファーム,日高町,ニューイヤーズデイ,ビキニパレード,キングカメハメハ
202608160101080106,未勝利・牝,10:00,３歳,ダ,1700,4,6,, イセッセイ,牝,3,遠藤汰月,52▲,6,110.27,10,22.8,12, 2.66,55.4,,,,,,未勝利,1,12,023,,2023106294,3,(美),伊藤伸一,美浦,アサヒ牧場,新冠町,エスポワールシチー,イセエビ,ハービンジャー
202608160101080107,未勝利・牝,10:00,３歳,ダ,1700,5,7,, フィエスタ,牝,3,河原田菜,51★,4,110.13,9,20.5,14, 2.52,57.7,,,,,,未勝利,1,12,023,,2023102101,3,(栗),西村真幸,栗東,谷川牧場,浦河町,キタサンブラック,ルガーサント,ヴィクトワールピサ
202608160101080108,未勝利・牝,10:00,３歳,ダ,1700,5,8,, セントピュアベース,牝,3,舟山瑠泉,54☆,7,110.38,11,41.8,9, 2.77,36.4,,,,,,未勝利,1,12,023,,2023100580,3,(栗),藤野健太,栗東,アイズスタッド,日高町,クリソベリル,プリンシアコメータ,スパイキュール
202608160101080109,未勝利・牝,10:00,３歳,ダ,1700,6,9,, アリディプラチノ,牝,3,大久保友,52▲,7,109.57,7,46.2,8, 1.96,32.0,,,,,,未勝利,1,12,023,,2023102063,3,(栗),畑端省吾,栗東,惣田英幸,浦河町,ホークビル,タイセイラルーナ,ゴールドアリュール
202608160101080110,未勝利・牝,10:00,３歳,ダ,1700,6,10,, プルーフリーディン,牝,3,小林美駒,52▲,8,108.59,5,73.6,4, 0.98, 4.6,,,,,,未勝利,1,12,023,,2023101145,3,(栗),小林真也,栗東,ダーレー・ジャパン・ファーム,日高町,ジャスタウェイ,ノヴェッラ,ノヴェリスト
202608160101080111,未勝利・牝,10:00,３歳,ダ,1700,7,11,, ハピネスドリーム,牝,3,北村友一, 55 ,2,110.54,13,30.8,10, 2.93,47.4,,,,,,未勝利,1,12,023,,2023100950,3,(美),木村哲也,美浦,下河辺牧場,日高町,シニスターミニスター,ハッピーグラス,ディープインパクト
202608160101080112,未勝利・牝,10:00,３歳,ダ,1700,7,12,, フローズンクイーン,牝,3,松本大輝, 55 ,1,110.53,12,30.5,11, 2.92,47.7,,,,,,未勝利,1,12,023,,2023105785,3,(栗),藤岡健一,栗東,ケイアイファーム,新ひだか町,ダノンプレミアム,アドマイヤシャイ,キンシャサノキセキ
