race_id_16,馬番,馬名,美咲印,美咲順位,美咲_勝率,美咲_連対率
2026082201020101,4,ファラオクィーン,◎,1,63.76474768409849,67.88605643991859
2026082201020101,7,トゥザファイナル,○,2,63.1263561853752,66.84619900744883
2026082201020101,3,サーギュスターヴ,▲,3,43.26595124567849,52.58237161014995
2026082201020101,2,アンバーバレット,△,4,38.75706117888424,42.89975739165556
2026082201020101,9,シンゼンノト,×,5,36.131036362430514,42.40218706161704
2026082201020101,1,レイテスツドリーム,注,6,42.57967688653128,37.255820810556976
2026082201020101,11,サウンドエフォート,☆,7,38.6257979364075,36.1855176503771
2026082201020101,8,マルカローゼ,,8,41.16179891800275,33.70748837004428
2026082201020101,6,マーズエクレール,,9,34.40808543868914,33.65760883630241
2026082201020101,12,ミライショウグン,,10,30.81493537880361,30.14392832550114
2026082201020101,10,レゾルートハート,,11,28.839017964562196,29.26992713420144
2026082201020101,5,アークレオン,,12,27.44430579836457,25.694076079504903
2026082201020102,2,ランフォーザエイジ,◎,1,52.285158914003425,56.52830030597632
2026082201020102,4,イントゥーザブルー,○,2,43.364781998664235,45.46621958249011
2026082201020102,6,ヒアカムズザサン,▲,3,43.45950505936445,44.60522322990876
2026082201020102,1,ランダムナンバー,△,4,41.26004192488968,44.447907643339896
2026082201020102,5,ローレルメビウス,×,5,41.89136665483238,37.800342110681875
2026082201020102,3,ロードレスポンス,注,6,32.56012032587663,32.29418418412438
2026082201020103,14,リン,◎,1,62.28695729960359,66.19549856190304
2026082201020103,12,ジュラトリー,○,2,50.50451200196531,54.414038636610464
2026082201020103,8,メイショウセンドウ,▲,3,44.150049931426196,50.17422612530058
2026082201020103,4,イーサンミラー,△,4,45.197084520793375,47.41652808537287
2026082201020103,1,コウソクユノ,×,5,47.49861037347311,47.02753235483551
2026082201020103,11,ハイテイラオユエ,注,6,42.1177954406365,45.71100832784121
2026082201020103,10,ルージュラベル,☆,7,46.051654111762716,44.11337772028491
2026082201020103,9,モンロワイヤル,,8,42.87807082922139,43.81767185515558
2026082201020103,5,ロジマギー,,9,41.79762877751229,39.919658153680025
2026082201020103,6,ハイランダー,,10,37.21440249352249,39.215297504414195
2026082201020103,3,ジャーナーリア,,11,36.69718254394832,37.409985124451254
2026082201020103,7,レーヌペスカ,,12,30.739987324053576,33.88421984297093
2026082201020103,2,パレホ,,13,27.491459869796834,26.636552579739657
2026082201020103,13,タイガーゲイト,,14,27.590765587752546,26.063826745798345
2026082201020104,11,コワンニシタガウ,◎,1,55.22207851753546,59.95213178968424
2026082201020104,1,ウィスカーパッド,○,2,50.36701438041589,56.316552897705904
2026082201020104,12,ブライスフェアリー,▲,3,48.94502604789846,54.70163398310544
2026082201020104,10,マンサニージャ,△,4,47.440508839151555,51.505679387009884
2026082201020104,4,メイショウノヴァス,×,5,47.294090442193045,50.63537067876804
2026082201020104,2,ゴコウコイコイ,注,6,42.76508768060274,50.41202329198694
2026082201020104,9,サトノリアファル,☆,7,45.92179395244529,49.60361896172148
2026082201020104,8,フローレンスフーガ,,8,42.97741053172208,49.351590345465794
2026082201020104,13,ケナゲ,,9,45.87522530368564,47.751560784999484
2026082201020104,7,シーシェル,,10,39.81041432132664,44.56888118844106
2026082201020104,3,アースヴィンチ,,11,43.348907366956794,41.853687002931764
2026082201020104,6,クロミ,,12,36.65871147493529,35.4492405814493
2026082201020104,5,シーラス,,13,29.915908384154655,29.113153506687816
2026082201020104,15,コティノス,,14,26.217418048097553,28.728724465611528
2026082201020104,14,クルサール,,15,27.124281459560667,26.282144078395582
2026082201020104,16,カタカムナ,,16,24.566368598285187,25.167424882409556
2026082201020105,7,マシュマロデイズ,◎,1,52.45870517265955,53.88215263710664
2026082201020105,5,グリーンアイランド,○,2,48.31340691740189,51.759267494357154
2026082201020105,8,ロードリバイバル,▲,3,42.35160301387119,47.394819995736306
2026082201020105,9,リーベフォール,△,4,41.36324082118643,45.71394094976306
2026082201020105,6,フクノブルースカイ,×,5,39.453594642022324,44.99121316328281
2026082201020105,11,ツキミ,注,6,39.99193303158099,44.08869018116148
2026082201020105,4,カセノメロス,☆,7,39.17931849150753,42.34670717209962
2026082201020105,14,ラストフィールド,,8,38.97662063156308,41.47423937893945
2026082201020105,3,スピカテソーロ,,9,35.9951029173302,41.271825962961145
2026082201020105,1,ノヴァカーラ,,10,36.73556830396241,41.04122864537787
2026082201020105,2,タプティ,,11,36.69494573649897,40.94725759876931
2026082201020105,13,ジャストピーチー,,12,38.22745629927681,40.8886387860616
2026082201020105,12,ハヤテノギンジロウ,,13,37.75950522152603,40.72961631190698
2026082201020105,10,ブラスセッション,,14,36.67533547240922,40.46172606782509
2026082201020106,2,タビニュ,◎,1,56.83160053885412,63.48372312758048
2026082201020106,12,ギオンバヤシ,○,2,55.479049656376354,61.20776078783605
2026082201020106,9,シャンドラファール,▲,3,48.1091965756776,58.01943993746141
2026082201020106,13,ホウオウライラック,△,4,45.261878249195625,48.689470297827704
2026082201020106,4,ヴィラジョヴィス,×,5,37.01310405322082,38.747001307995774
2026082201020106,10,レットミーテイク,注,6,33.826352839145464,37.46099310764963
2026082201020106,3,デルマタカチホ,☆,7,32.26967049816358,33.995351417649296
2026082201020106,7,アイアムコロンブス,,8,31.572772795738334,32.957966259569936
2026082201020106,14,リアライズパリオ,,9,27.01267030254285,30.274852406146223
2026082201020106,11,パゴスピグイノス,,10,30.688068591655863,30.126262955315525
2026082201020106,5,フィエールシャンテ,,11,30.757088824947378,29.957432627242277
