date,race_id_16,競馬場,R,レース名,新馬戦,集計対象,俺_◎馬番,俺_◎馬名,俺_◎着順,俺_◎1着,俺_◎連対,俺_◎複勝,美咲_◎馬番,美咲_◎馬名,美咲_◎着順,美咲_◎1着,美咲_◎連対,美咲_◎複勝
20260815,2026081501010701,札幌,1,未勝利,0,1,3,クルビデンス,1,1,1,1,3,クルビデンス,1,1,1,1
20260815,2026081501010702,札幌,2,未勝利*,0,1,3,イッペイ,4,0,0,0,2,オンザボー,2,0,1,1
20260815,2026081501010703,札幌,3,未勝利,0,1,12,ツクバヴァンガード,7,0,0,0,11,メイワキラリ,1,1,1,1
20260815,2026081501010704,札幌,4,未勝利,0,1,12,モロノカガヤキ,1,1,1,1,6,ウインガネーシャ,5,0,0,0
20260815,2026081501010705,札幌,5,新馬,1,1,7,キャンドル,10,0,0,0,4,ディンクスマッシュ,7,0,0,0
20260815,2026081501010706,札幌,6,未勝利,0,1,10,ショウナンバーボン,4,0,0,0,10,ショウナンバーボン,4,0,0,0
20260815,2026081501010707,札幌,7,１勝ｸﾗｽ・牝,0,1,3,ミッキーテネシー,10,0,0,0,3,ミッキーテネシー,10,0,0,0
20260815,2026081501010708,札幌,8,１勝ｸﾗｽ,0,1,3,ザハント,7,0,0,0,9,ロードアマルフィ,1,1,1,1
20260815,2026081501010709,札幌,9,コスモス,0,1,1,コスモハナミズキ,3,0,0,1,3,アヴィアトーレ,5,0,0,0
20260815,2026081501010710,札幌,10,知床特別･2勝,0,1,11,コックオーヴァン,9,0,0,0,2,セイプリーズ,2,0,1,1
20260815,2026081501010711,札幌,11,報知杯Ｈ･3勝,0,1,7,セボンサデッセ,3,0,0,1,3,キャットテイル,13,0,0,0
20260815,2026081501010712,札幌,12,積丹特別･1勝,0,1,5,タケルフォーカス,3,0,0,1,9,ミッキーファルコン,1,1,1,1
20260815,2026081504020701,新潟,1,未勝利*,0,1,4,コナパームス,5,0,0,0,3,フルーツバスケット,1,1,1,1
20260815,2026081504020702,新潟,2,新馬・牝,1,1,4,スナッチアップ,4,0,0,0,9,テリオスブギ,9,0,0,0
20260815,2026081504020703,新潟,3,新馬,1,1,10,ピコベリー,1,1,1,1,2,リボンロード,5,0,0,0
20260815,2026081504020704,新潟,4,未勝利,0,1,7,ヴェントベローチェ,7,0,0,0,12,レイズレガシー,1,1,1,1
20260815,2026081504020705,新潟,5,１勝ｸﾗｽ,0,1,15,グリオンヴール,2,0,1,1,15,グリオンヴール,2,0,1,1
20260815,2026081504020706,新潟,6,阿賀野川･2勝,0,1,12,ブラックオリンピア,2,0,1,1,12,ブラックオリンピア,2,0,1,1
20260815,2026081504020707,新潟,7,上越Ｓ･3勝,0,1,13,スノーサイレンス,13,0,0,0,10,フウセツ,3,0,0,1
20260815,2026081504020708,新潟,8,三国特別･1勝,0,1,3,ルーナディサングエ,2,0,1,1,8,インナーパッション,4,0,0,0
20260815,2026081504020709,新潟,9,新潟ジャJG3,0,1,7,ビーンスターク,8,0,0,0,1,シャンデルナゴル,7,0,0,0
20260815,2026081504020710,新潟,10,未勝利,0,1,9,マーチンゲール,1,1,1,1,9,マーチンゲール,1,1,1,1
20260815,2026081504020711,新潟,11,未勝利,0,1,11,シャルマンナナ,9,0,0,0,12,リナシタ,14,0,0,0
20260815,2026081504020712,新潟,12,未勝利,0,1,13,セキテイリノ,2,0,1,1,8,キコリータ,4,0,0,0
20260815,2026081507020701,中京,1,未勝利*,0,1,1,アイゼンフォルク,13,0,0,0,1,アイゼンフォルク,13,0,0,0
20260815,2026081507020702,中京,2,未勝利,0,1,7,ヤマニンアレシス,1,1,1,1,14,モカプウイング,4,0,0,0
20260815,2026081507020703,中京,3,新馬,1,1,1,リアルカムイ,5,0,0,0,5,スクールディーヴァ,4,0,0,0
20260815,2026081507020704,中京,4,未勝利,0,1,14,モンシーク,1,1,1,1,14,モンシーク,1,1,1,1
20260815,2026081507020705,中京,5,未勝利・牝,0,1,6,エレーデサンライズ,1,1,1,1,11,ベイニーニャ,14,0,0,0
20260815,2026081507020706,中京,6,知多特別･2勝,0,1,7,トップアタック,2,0,1,1,10,フォーゲル,1,1,1,1
20260815,2026081507020707,中京,7,高山ＳＨ･3勝,0,1,5,バッデレイト,1,1,1,1,4,ダノンジャイアン,4,0,0,0
20260815,2026081507020708,中京,8,常滑特別･1勝,0,1,6,ダンツウルス,3,0,0,1,6,ダンツウルス,3,0,0,1
20260815,2026081507020709,中京,9,１勝ｸﾗｽ,0,1,2,メイショウマドロス,7,0,0,0,3,エイシンティザー,4,0,0,0
20260815,2026081507020710,中京,10,１勝ｸﾗｽ,0,1,14,ジューンセクレタ,3,0,0,1,12,アーガイルショア,5,0,0,0
20260815,2026081507020711,中京,11,１勝ｸﾗｽ,0,1,11,マイリトルヒーロー,3,0,0,1,2,ミラキュラスアース,8,0,0,0
20260815,2026081507020712,中京,12,未勝利,0,1,5,ナムラロダン,2,0,1,1,5,ナムラロダン,2,0,1,1
