レースID(新),レース名,発走時刻,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード,着,血統登録番号
202608150702070504,未勝利・牝,11:50,３歳,ダ,1800,2,4,, アティラン,牝,3,森田誠也,52▲,4,116.77,13,30.4,15, 1.83,46.3,,,,,40.0,未勝利,5,12,023,,2023105641
202608150702070505,未勝利・牝,11:50,３歳,ダ,1800,3,5,, ブライトココナッツ,牝,3,田山旺佑,54☆,3,116.84,14,31.1,14, 1.90,45.6,,,,,28.1,未勝利,5,12,023,,2023102724
202608150702070506,未勝利・牝,11:50,３歳,ダ,1800,3,6,, エレーデサンライズ,牝,3,幸英明, 55 ,6,114.98,2,76.2,2, 0.04, 0.5,,,,,8.4,未勝利,5,12,023,,2023100912
202608150702070507,未勝利・牝,11:50,３歳,ダ,1800,4,7,, アキノビューティー,牝,3,鮫島良太, 55 ,4,114.94,1,76.0,3,-0.04, 0.7,,,,,5.4,未勝利,5,12,023,,2023100233
202608150702070508,未勝利・牝,11:50,３歳,ダ,1800,4,8,, ピンクカメリア,牝,3,西塚洸二, 55 ,3,115.73,7,39.2,11, 0.79,37.5,,,,,28.3,未勝利,5,12,023,,2023101229
202608150702070509,未勝利・牝,11:50,３歳,ダ,1800,5,9,, パーフェクトパティ,牝,3,西村淳也, 55 ,0,116.92,15,37.4,13, 1.98,39.3,,,,,32.9,未勝利,5,12,023,,2023106365
202608150702070510,未勝利・牝,11:50,３歳,ダ,1800,5,10,, クレスコフェーヴ,牝,3,中井裕二, 55 ,7,116.35,11,38.2,12, 1.41,38.5,,,,,73.3,未勝利,5,12,023,,2023103829
202608150702070511,未勝利・牝,11:50,３歳,ダ,1800,6,11,, ベイニーニャ,牝,3,長岡禎仁, 55 ,2,116.41,12,50.1,8, 1.47,26.6,,,,,5.7,未勝利,5,12,023,,2023105819
202608150702070512,未勝利・牝,11:50,３歳,ダ,1800,6,12,, ショルタメンテ,牝,3,永島まな,53◇,3,116.27,10,42.0,10, 1.33,34.7,,,,,21.6,未勝利,5,12,023,,2023103819
202608150702070513,未勝利・牝,11:50,３歳,ダ,1800,7,13,, フローマジック,牝,3,岩田望来, 55 ,4,115.25,3,62.2,5, 0.31,14.5,,,,,6.8,未勝利,5,12,023,,2023105252
202608150702070514,未勝利・牝,11:50,３歳,ダ,1800,7,14,, グランビスタ,牝,3,吉村誠之, 55 ,4,116.02,9,52.8,7, 1.08,23.9,,,,,13.3,未勝利,5,12,023,,2023107190
202608150702070515,未勝利・牝,11:50,３歳,ダ,1800,8,15,, ウォーターコトノハ,牝,3,柴田裕一,53△,4,117.49,16,15.7,16, 2.55,61.0,,,,,234.9,未勝利,5,12,023,,2023101666
202608150702070516,未勝利・牝,11:50,３歳,ダ,1800,8,16,, マルベック,牝,3,コレット, 55 ,4,115.72,6,56.0,6, 0.78,20.7,,,,,11.9,未勝利,5,12,023,,2023105155
202608150702070601,知多特別･2勝,15:10,３歳以上,芝,1200,1,1,, モンテディアーナ,牝,4,団野大成, 56 ,13,68.78,10,32.7,9, 0.64,36.2,,,,,6.6,2勝,6,13,A04,,2022104597
202608150702070602,知多特別･2勝,15:10,３歳以上,芝,1200,2,2,(地), ハルオーブ,牡,6,酒井学, 58 ,47,68.40,7,49.4,6, 0.26,19.5,,,,,16.0,2勝,6,13,A04,,2020104732
202608150702070603,知多特別･2勝,15:10,３歳以上,芝,1200,3,3,(地), ヒーローインチーフ,セ,5,富田暁, 58 ,24,68.55,8,41.7,8, 0.41,27.2,,,,,20.6,2勝,6,13,A04,,2021106661
202608150702070604,知多特別･2勝,15:10,３歳以上,芝,1200,4,4,, モンサンゴールデン,牡,3,柴田裕一, 56 ,10,68.26,3,49.2,7, 0.12,19.7,,,,,15.9,2勝,6,13,A04,,2023104044
202608150702070605,知多特別･2勝,15:10,３歳以上,芝,1200,5,5,, パリコレジェンヌ,牝,4,田口貫太, 56 ,15,68.28,5,54.5,5, 0.14,14.4,,,,,7.9,2勝,6,13,A04,,2022104501
202608150702070606,知多特別･2勝,15:10,３歳以上,芝,1200,6,6,, タミゼ,牝,5,幸英明, 56 ,19,68.71,9,29.0,10, 0.57,39.9,,,,,54.4,2勝,6,13,A04,,2021100650
202608150702070607,知多特別･2勝,15:10,３歳以上,芝,1200,6,7,, トップアタック,牡,3,坂井瑠星, 56 ,8,68.27,4,64.4,4, 0.13, 4.5,,,,,4.7,2勝,6,13,A04,,2023104528
202608150702070608,知多特別･2勝,15:10,３歳以上,芝,1200,7,8,, ファイツオン,牡,5,吉村誠之, 58 ,18,68.88,11,27.1,11, 0.74,41.8,,,,,21.6,2勝,6,13,A04,,2021100476
202608150702070609,知多特別･2勝,15:10,３歳以上,芝,1200,7,9,, シラヌイ,牝,3,松山弘平, 54 ,5,68.14,1,65.0,3,-0.09, 3.9,,,,,5.1,2勝,6,13,A04,,2023105668
202608150702070610,知多特別･2勝,15:10,３歳以上,芝,1200,8,10,, フォーゲル,牡,3,コレット, 56 ,10,68.32,6,68.9,1, 0.18,-1.4,,,,,3.9,2勝,6,13,A04,,2023105273
202608150702070611,知多特別･2勝,15:10,３歳以上,芝,1200,8,11,, インフローレ,牝,4,岩田望来, 56 ,13,68.23,2,67.5,2, 0.09, 1.4,,,,,13.2,2勝,6,13,A04,,2022102729
202608150702070701,高山ＳＨ･3勝,15:45,３歳以上,芝,2000,1,1,, アラタマフェーヴル,牡,5,コレット, 55 ,15,120.04,7,54.0,4, 0.64,12.5,,,,,9.2,3勝,7,13,A03,,2021102115
202608150702070702,高山ＳＨ･3勝,15:45,３歳以上,芝,2000,2,2,, シンゼンカガ,牡,4,団野大成, 56 ,15,119.90,5,36.4,7, 0.50,30.1,,,,,9.2,3勝,7,13,A03,,2022105345
202608150702070703,高山ＳＨ･3勝,15:45,３歳以上,芝,2000,3,3,, ドットクルー,牡,6,西塚洸二, 55 ,28,119.97,6,42.7,5, 0.57,23.8,,,,,19.3,3勝,7,13,A03,,2020101486
202608150702070704,高山ＳＨ･3勝,15:45,３歳以上,芝,2000,4,4,, ダノンジャイアン,牡,4,西村淳也, 55 ,10,119.43,2,55.7,3, 0.03,10.8,,,,,9.7,3勝,7,13,A03,,2022105399
202608150702070705,高山ＳＨ･3勝,15:45,３歳以上,芝,2000,5,5,, バッデレイト,牡,5,岩田望来, 57 ,13,119.58,3,65.9,2, 0.18, 0.6,,,,,5.1,3勝,7,13,A03,,2021102728
202608150702070706,高山ＳＨ･3勝,15:45,３歳以上,芝,2000,6,6,, キーパフォーマー,牝,5,吉村誠之, 53 ,18,119.64,4,42.4,6, 0.24,24.1,,,,,7.2,3勝,7,13,A03,,2021104948
202608150702070707,高山ＳＨ･3勝,15:45,３歳以上,芝,2000,7,7,, フィオレストラーダ,牝,4,松若風馬, 54 ,10,119.40,1,66.5,1,-0.03,-0.6,,,,,1.9,3勝,7,13,A03,,2022100626
202608150702070708,高山ＳＨ･3勝,15:45,３歳以上,芝,2000,8,8,, カクウチ,牡,3,藤懸貴志, 50 ,8,120.51,8,35.9,8, 1.11,30.6,,,,,21.9,3勝,7,13,A03,,2023101405
202608150702070801,常滑特別･1勝,16:25,３歳以上,芝,2000,1,1,, アクセス,牡,3,坂井瑠星, 55 ,3,120.35,3,71.9,1, 0.31,-5.7,,,,,2.9,1勝,8,13,004,,2023100947
202608150702070802,常滑特別･1勝,16:25,３歳以上,芝,2000,2,2,[地], エイシンリファイン,牝,3,筒井勇介, 53 ,10,121.33,8,27.0,9, 1.29,44.9,,,,,120.5,1勝,8,13,004,,2023105495
202608150702070803,常滑特別･1勝,16:25,３歳以上,芝,2000,3,3,, スイッチビスケット,牡,4,松若風馬, 58 ,12,121.69,10,31.9,8, 1.65,40.0,,,,,45.5,1勝,8,13,004,,2022106295
202608150702070804,常滑特別･1勝,16:25,３歳以上,芝,2000,4,4,, パンチャマハブータ,牝,3,松山弘平, 53 ,6,120.61,7,46.9,7, 0.57,25.0,,,,,14.9,1勝,8,13,004,,2023101404
202608150702070805,常滑特別･1勝,16:25,３歳以上,芝,2000,5,5,, ピースヒロフェイス,牝,5,富田暁, 56 ,29,121.35,9,26.8,10, 1.31,45.1,,,,,41.1,1勝,8,13,004,,2021105769
202608150702070806,常滑特別･1勝,16:25,３歳以上,芝,2000,6,6,, ダンツウルス,牡,3,田口貫太, 55 ,8,120.54,5,51.9,6, 0.50,20.0,,,,,14.9,1勝,8,13,004,,2023102901
202608150702070807,常滑特別･1勝,16:25,３歳以上,芝,2000,7,7,, ベンティガオルサ,牡,3,団野大成, 55 ,5,120.04,1,54.9,5,-0.15,17.0,,,,,12.8,1勝,8,13,004,,2023101582
202608150702070808,常滑特別･1勝,16:25,３歳以上,芝,2000,7,8,, チェルヴァーラ,牡,3,西村淳也, 55 ,4,120.19,2,66.2,2, 0.15, 5.7,,,,,2.0,1勝,8,13,004,,2023107106
202608150702070809,常滑特別･1勝,16:25,３歳以上,芝,2000,8,9,, アトレッタ,牡,3,幸英明, 55 ,3,120.36,4,65.8,3, 0.32, 6.1,,,,,15.3,1勝,8,13,004,,2023104008
202608150702070810,常滑特別･1勝,16:25,３歳以上,芝,2000,8,10,, ショウグンマサムネ,牡,3,岩田望来, 55 ,5,120.58,6,56.1,4, 0.54,15.8,,,,,9.7,1勝,8,13,004,,2023103897
202608150702070901,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,1,1,, ルシタニア,セ,4,森田誠也,55▲,8,114.75,13,56.9,5, 1.14,13.5,,,,,50.0,1勝,9,13,A03,,2022104640
202608150702070902,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,1,2,, メイショウマドロス,牡,5,坂井瑠星, 58 ,3,114.50,10,45.3,12, 0.89,25.1,,,,,8.0,1勝,9,13,A03,,2021102835
202608150702070903,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,2,3,, エイシンティザー,牡,3,岩田望来, 55 ,7,113.61,1,70.4,1,-0.05,-7.8,,,,,4.6,1勝,9,13,A03,,2023105516
202608150702070904,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,2,4,(地), ソリッドベーシス,セ,4,秋山稔樹, 58 ,10,116.27,16,25.9,16, 2.66,44.5,,,,,182.7,1勝,9,13,A03,,2022105697
202608150702070905,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,3,5,, メイショウサッソウ,牡,3,加藤祥太, 55 ,6,114.19,6,56.9,5, 0.58,13.5,,,,,49.4,1勝,9,13,A03,,2023101953
202608150702070906,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,3,6,, オーレアミスト,セ,4,角田大和, 58 ,12,114.91,15,44.2,13, 1.30,26.2,,,,,40.1,1勝,9,13,A03,,2022104841
202608150702070907,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,4,7,, インシオン,牡,3,西塚洸二, 55 ,6,114.41,8,55.9,8, 0.80,14.5,,,,,9.5,1勝,9,13,A03,,2023107203
202608150702070908,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,4,8,, アーサーバローズ,牡,3,吉村誠之, 55 ,11,114.85,14,31.7,14, 1.24,38.7,,,,,28.1,1勝,9,13,A03,,2023105468
202608150702070909,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,5,9,, プロスペクトパーク,牡,4,筒井勇介, 58 ,14,114.15,5,48.3,9, 0.54,22.1,,,,,37.3,1勝,9,13,A03,,2022105548
202608150702070910,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,5,10,,*タイセイドラード,牡,4,西村淳也, 58 ,2,114.43,9,47.7,10, 0.82,22.7,,,,,2.5,1勝,9,13,A03,,2022105075
202608150702070911,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,6,11,, ナリノシャーウッド,牡,3,団野大成, 55 ,4,114.40,7,45.9,11, 0.79,24.5,,,,,26.8,1勝,9,13,A03,,2023105963
202608150702070912,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,6,12,, タリスマン,牡,5,伊藤工真, 58 ,18,114.54,11,31.3,15, 0.93,39.1,,,,,117.8,1勝,9,13,A03,,2021104618
202608150702070913,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,7,13,, ケンフィールド,牡,3,幸英明, 55 ,12,114.14,4,60.8,3, 0.53, 9.6,,,,,13.7,1勝,9,13,A03,,2023101694
202608150702070914,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,7,14,, ロックウイズユー,セ,4,コレット, 58 ,16,114.57,12,59.6,4, 0.96,10.8,,,,,36.1,1勝,9,13,A03,,2022103143
202608150702070915,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,8,15,, ヨカオウ,牡,3,田山旺佑,54☆,10,113.84,3,62.6,2, 0.23, 7.8,,,,,10.0,1勝,9,13,A03,,2023102707
202608150702070916,１勝ｸﾗｽ,17:00,３歳以上,ダ,1800,8,16,, ケイアイアマゾン,牡,3,藤懸貴志, 55 ,8,113.66,2,56.0,7, 0.05,14.4,,,,,29.0,1勝,9,13,A03,,2023105762
202608150702071001,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,1,1,, タイセイサーブル,牡,3,西村淳也, 55 ,4,84.86,3,47.1,9, 0.08,26.3,,,,,14.7,1勝,10,13,A03,,2023104674
202608150702071002,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,1,2,, エブリデイ,牡,3,秋山稔樹, 55 ,7,85.10,8,53.2,7, 0.32,20.2,,,,,39.2,1勝,10,13,A03,,2023102902
202608150702071003,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,2,3,, アーディアイリ,牝,3,吉村誠之, 53 ,5,85.26,11,41.6,12, 0.48,31.8,,,,,29.9,1勝,10,13,A03,,2023102460
202608150702071004,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,2,4,, ラブミーナッソー,牝,4,森田誠也,53▲,8,85.60,14,39.8,13, 0.82,33.6,,,,,35.6,1勝,10,13,A03,,2022103453
202608150702071005,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,3,5,(外),$レーヴドアンジュ,牝,4,柴田裕一,54△,11,85.41,13,39.4,14, 0.63,34.0,,,,,116.9,1勝,10,13,A03,,2022110157
202608150702071006,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,3,6,, バルミラクル,牡,4,鮫島良太, 58 ,18,85.20,9,44.6,10, 0.42,28.8,,,,,5.7,1勝,10,13,A03,,2022106177
202608150702071007,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,4,7,, ナムラティアラ,牝,3,松若風馬, 53 ,8,85.28,12,50.1,8, 0.50,23.3,,,,,24.5,1勝,10,13,A03,,2023106228
202608150702071008,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,4,8,(地), アスクムービーオン,セ,5,コレット, 58 ,11,86.61,16,28.5,15, 1.83,44.9,,,,,17.8,1勝,10,13,A03,,2021102318
202608150702071009,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,5,9,, ミルミナーヴァ,牝,5,永島まな,54◇,18,85.88,15,25.1,16, 1.10,48.3,,,,,27.2,1勝,10,13,A03,,2021106332
202608150702071010,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,5,10,(外)(地),$ザングウィル,牡,6,岩田望来, 58 ,25,84.90,4,65.6,2, 0.12, 7.8,,,,,9.5,1勝,10,13,A03,,2020110051
202608150702071011,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,6,11,, エイシンマールス,牡,4,松山弘平, 58 ,14,84.83,2,73.4,1, 0.05,-7.8,,,,,10.7,1勝,10,13,A03,,2022102624
202608150702071012,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,6,12,, アーガイルショア,牝,3,団野大成, 53 ,8,84.78,1,65.5,3,-0.05, 7.9,,,,,11.3,1勝,10,13,A03,,2023103718
202608150702071013,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,7,13,, シュテフィ,牝,3,田口貫太, 53 ,7,85.25,10,42.8,11, 0.47,30.6,,,,,46.3,1勝,10,13,A03,,2023105301
202608150702071014,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,7,14,(外),$ジューンセクレタ,牡,3,富田暁, 55 ,7,84.97,7,59.2,5, 0.19,14.2,,,,,7.1,1勝,10,13,A03,,2023110029
202608150702071015,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,8,15,(外),$キーンセンス,牡,3,幸英明, 55 ,10,84.91,5,57.9,6, 0.13,15.5,,,,,8.6,1勝,10,13,A03,,2023110036
202608150702071016,１勝ｸﾗｽ,17:30,３歳以上,ダ,1400,8,16,, ララバッカナール,牝,5,田山旺佑,55☆,12,84.96,6,65.5,3, 0.18, 7.9,,,,,4.6,1勝,10,13,A03,,2021107097
202608150702071101,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,1,1,, スマートティアナ,牝,3,岩田望来, 53 ,3,93.24,2,70.7,2, 0.10, 4.5,,,,,6.1,1勝,11,13,003,,2023102225
202608150702071102,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,2,2,, ミラキュラスアース,牝,3,西塚洸二, 53 ,4,93.68,6,58.2,4, 0.54,17.0,,,,,13.3,1勝,11,13,003,,2023107074
202608150702071103,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,2,3,, プチプランス,牡,4,吉村誠之, 58 ,11,94.40,13,36.2,12, 1.26,39.0,,,,,23.5,1勝,11,13,003,,2022101565
202608150702071104,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,3,4,, イージーライダー,牡,3,コレット, 55 ,6,93.58,5,54.7,5, 0.44,20.5,,,,,3.5,1勝,11,13,003,,2023102814
202608150702071105,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,3,5,, メイショウビストロ,牡,4,富田暁, 58 ,13,93.52,4,54.7,5, 0.38,20.5,,,,,14.6,1勝,11,13,003,,2022103251
202608150702071106,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,4,6,, マルモア,牝,5,角田大和, 56 ,11,93.80,7,52.6,7, 0.66,22.6,,,,,23.4,1勝,11,13,003,,2021105245
202608150702071107,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,4,7,, レインオンミー,牡,4,森田誠也,55▲,15,94.15,10,47.7,9, 1.01,27.5,,,,,31.9,1勝,11,13,003,,2022104117
202608150702071108,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,5,8,, ハレアカラフラ,牝,6,松若風馬, 56 ,20,94.18,12,45.6,10, 1.04,29.6,,,,,21.0,1勝,11,13,003,,2020103292
202608150702071109,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,5,9,, サリーチェ,牝,4,国分優作, 56 ,13,94.80,15,26.5,15, 1.66,48.7,,,,,19.7,1勝,11,13,003,,2022104794
202608150702071110,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,6,10,, フェルシナ,牝,4,田山旺佑,55☆,13,93.87,8,50.7,8, 0.73,24.5,,,,,14.2,1勝,11,13,003,,2022105831
202608150702071111,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,6,11,, マイリトルヒーロー,牡,3,幸英明, 55 ,5,93.14,1,67.5,3,-0.10, 7.7,,,,,7.2,1勝,11,13,003,,2023106785
202608150702071112,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,7,12,, ギザキズラヴ,牝,4,藤懸貴志, 56 ,11,93.99,9,27.5,14, 0.85,47.7,,,,,39.2,1勝,11,13,003,,2022106715
202608150702071113,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,7,13,, ペプチドブッドレア,牝,3,団野大成, 53 ,7,93.38,3,75.2,1, 0.24,-4.5,,,,,6.1,1勝,11,13,003,,2023105720
202608150702071114,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,8,14,, テレプシコーラ,牝,4,中井裕二, 56 ,15,94.65,14,36.1,13, 1.51,39.1,,,,,32.8,1勝,11,13,003,,2022100457
202608150702071115,１勝ｸﾗｽ,18:00,３歳以上,芝,1600,8,15,, ラガークイン,牝,5,田口貫太, 56 ,23,94.16,11,45.4,11, 1.02,29.8,,,,,44.2,1勝,11,13,003,,2021105416
202608150702071201,未勝利,18:30,３歳,ダ,1200,1,1,, タマモビスケット,牝,3,柴田裕一,53△,7,73.87,14,49.7,9, 1.04,35.1,,,,,27.1,未勝利,12,12,003,,2023102448
202608150702071202,未勝利,18:30,３歳,ダ,1200,1,2,, ワンダーミューズ,牝,3,松若風馬, 55 ,2,73.85,13,25.2,14, 1.02,59.6,,,,,37.9,未勝利,12,12,003,,2023100166
202608150702071203,未勝利,18:30,３歳,ダ,1200,2,3,, ブロンザイト,牡,3,国分優作, 57 ,4,73.49,6,46.5,11, 0.66,38.3,,,,,12.3,未勝利,12,12,003,,2023106979
202608150702071204,未勝利,18:30,３歳,ダ,1200,2,4,, フェイトブレイカー,セ,3,秋山稔樹, 57 ,2,73.52,7,58.0,5, 0.69,26.8,,,,,94.0,未勝利,12,12,003,,2023101803
202608150702071205,未勝利,18:30,３歳,ダ,1200,3,5,, ナムラロダン,牡,3,田山旺佑,56☆,10,72.83,1,84.8,1,-0.30,-1.0,,,,,5.8,未勝利,12,12,003,,2023106223
202608150702071206,未勝利,18:30,３歳,ダ,1200,3,6,, ザキノフレンズ,牡,3,団野大成, 57 ,10,73.42,5,83.8,2, 0.59, 1.0,,,,,18.0,未勝利,12,12,003,,2023104433
202608150702071207,未勝利,18:30,３歳,ダ,1200,4,7,, チョウスター,牝,3,幸英明, 55 ,7,73.13,2,76.0,3, 0.30, 8.8,,,,,12.4,未勝利,12,12,003,,2023104226
202608150702071208,未勝利,18:30,３歳,ダ,1200,4,8,, アイアン,牡,3,吉村誠之, 57 ,2,73.57,9,52.4,7, 0.74,32.4,,,,,22.0,未勝利,12,12,003,,2023103096
202608150702071209,未勝利,18:30,３歳,ダ,1200,5,9,, ペコリズム,牝,3,田口貫太, 55 ,4,73.58,10,48.4,10, 0.75,36.4,,,,,13.6,未勝利,12,12,003,,2023106339
202608150702071210,未勝利,18:30,３歳,ダ,1200,5,10,, ブルークレスト,牡,3,城戸義政, 57 ,1,74.49,16,15.9,16, 1.66,68.9,,,,,215.4,未勝利,12,12,003,,2023101888
202608150702071211,未勝利,18:30,３歳,ダ,1200,6,11,, ハッピーリオン,牝,3,太宰啓介, 55 ,4,73.34,4,54.4,6, 0.51,30.4,,,,,29.6,未勝利,12,12,003,,2023101899
202608150702071212,未勝利,18:30,３歳,ダ,1200,6,12,, チェカ,牝,3,西塚洸二, 55 ,2,73.79,12,25.8,13, 0.96,59.0,,,,,99.6,未勝利,12,12,003,,2023104385
202608150702071213,未勝利,18:30,３歳,ダ,1200,7,13,, クリノゴージャス,牝,3,森田誠也,52▲,1,73.95,15,21.8,15, 1.12,63.0,,,,,119.2,未勝利,12,12,003,,2023102488
202608150702071214,未勝利,18:30,３歳,ダ,1200,7,14,, ファーヴニル,牝,3,筒井勇介, 55 ,3,73.67,11,43.5,12, 0.84,41.3,,,,,76.7,未勝利,12,12,003,,2023101691
202608150702071215,未勝利,18:30,３歳,ダ,1200,8,15,, ゴールドアーチ,牡,3,岩田望来, 57 ,2,73.56,8,62.3,4, 0.73,22.5,,,,,1.8,未勝利,12,12,003,,2023102051
202608150702071216,未勝利,18:30,３歳,ダ,1200,8,16,,*ミスジェイド,牝,3,長岡禎仁, 55 ,6,73.29,3,50.7,8, 0.46,34.1,,,,,21.8,未勝利,12,12,003,,2023104199
