date,race_id_16,競馬場,R,レース名,新馬戦,集計対象,俺_◎馬番,俺_◎馬名,俺_◎着順,俺_◎1着,俺_◎連対,俺_◎複勝,美咲_◎馬番,美咲_◎馬名,美咲_◎着順,美咲_◎1着,美咲_◎連対,美咲_◎複勝
20260816,2026081601010801,札幌,1,未勝利・牝,0,1,5,ルージュリヴィエラ,7,0,0,0,10,プルーフリーディン,1,1,1,1
20260816,2026081601010802,札幌,2,未勝利*,0,1,3,タイフーンナイン,1,1,1,1,3,タイフーンナイン,1,1,1,1
20260816,2026081601010803,札幌,3,１勝ｸﾗｽ,0,1,6,ブランドブラン,8,0,0,0,13,コウギョク,4,0,0,0
20260816,2026081601010804,札幌,4,未勝利,0,1,8,アルジェンタム,1,1,1,1,4,メイショウタイザン,4,0,0,0
20260816,2026081601010805,札幌,5,新馬,1,1,7,シャイニーヒーロー,9,0,0,0,9,ハヤブサカツオー,3,0,0,1
20260816,2026081601010806,札幌,6,１勝ｸﾗｽ,0,1,4,ラテラルパーム,2,0,1,1,3,イングラム,6,0,0,0
20260816,2026081601010807,札幌,7,未勝利,0,1,16,ミナヅキ,6,0,0,0,16,ミナヅキ,6,0,0,0
20260816,2026081601010808,札幌,8,１勝ｸﾗｽ,0,1,7,タイキインドラ,1,1,1,1,3,タイセイルビー,6,0,0,0
20260816,2026081601010809,札幌,9,小樽特別･1勝,0,1,5,ハッピーラッキー,4,0,0,0,3,エコロハート,9,0,0,0
20260816,2026081601010810,札幌,10,大通公園･2勝,0,1,9,ウーマンズパワー,5,0,0,0,9,ウーマンズパワー,5,0,0,0
20260816,2026081601010811,札幌,11,札幌記念G2,0,1,12,ゼンダンハヤブサ,11,0,0,0,8,サクラファレル,2,0,1,1
20260816,2026081601010812,札幌,12,阿寒湖特･2勝,0,1,2,ダノンヒストリー,1,1,1,1,2,ダノンヒストリー,1,1,1,1
20260816,2026081604020801,新潟,1,未勝利・牝*,0,1,8,インサイドエッジ,3,0,0,1,7,クラオルグジェシダ,4,0,0,0
20260816,2026081604020802,新潟,2,未勝利,0,1,14,アルティマローネ,7,0,0,0,15,ゾネブルーム,2,0,1,1
20260816,2026081604020803,新潟,3,未勝利*,0,1,10,マリノエスプレッソ,3,0,0,1,6,アレックスケー,4,0,0,0
20260816,2026081604020804,新潟,4,新馬,1,1,8,ノーブルミント,11,0,0,0,11,マルスレジーナ,4,0,0,0
20260816,2026081604020805,新潟,5,１勝ｸﾗｽ,0,1,6,ダノンファンスター,4,0,0,0,6,ダノンファンスター,4,0,0,0
20260816,2026081604020806,新潟,6,稲妻Ｓ･3勝,0,1,8,カウスリップ,1,1,1,1,5,エコロジーク,8,0,0,0
20260816,2026081604020807,新潟,7,ＮＳＴ賞Ｈ,0,1,2,ファムエレガンテ,6,0,0,0,2,ファムエレガンテ,6,0,0,0
20260816,2026081604020808,新潟,8,瀬波温泉･2勝,0,1,5,ラストレガシー,4,0,0,0,4,カゼノタカトシ,5,0,0,0
20260816,2026081604020809,新潟,9,障害未勝利,0,1,3,ジロラータ,8,0,0,0,4,メイショウトム,2,0,1,1
20260816,2026081604020810,新潟,10,未勝利・牝,0,1,10,ラショナルポイント,2,0,1,1,1,イサチルクイーン,4,0,0,0
20260816,2026081604020811,新潟,11,１勝ｸﾗｽ,0,1,1,ポッドクロス,6,0,0,0,4,ヴィジョンメーカー,5,0,0,0
20260816,2026081604020812,新潟,12,未勝利,0,1,11,ロジキセキ,2,0,1,1,13,タマモブレイキン,1,1,1,1
20260816,2026081607020801,中京,1,未勝利*,0,1,1,スマートメモリー,4,0,0,0,4,ナムラメアリー,8,0,0,0
20260816,2026081607020802,中京,2,新馬,1,1,3,ソルテヴェローチェ,12,0,0,0,12,パシアンジェンヌ,1,1,1,1
20260816,2026081607020803,中京,3,新馬,1,1,7,グラシアレスインク,3,0,0,1,5,ティフォシ,2,0,1,1
20260816,2026081607020804,中京,4,未勝利,0,1,18,ホウオウモチーヴ,6,0,0,0,2,コスモフィレンツェ,10,0,0,0
20260816,2026081607020805,中京,5,未勝利,0,1,11,ペプチドアロン,3,0,0,1,7,ナリタアーマー,8,0,0,0
20260816,2026081607020806,中京,6,長久手特･2勝,0,1,1,ホウオウタイタン,2,0,1,1,5,アーリーハーベスト,4,0,0,0
20260816,2026081607020807,中京,7,中京記念G3,0,1,7,カネラフィーナ,8,0,0,0,12,サトノシャイニング,3,0,0,1
20260816,2026081607020808,中京,8,大垣特別･2勝,0,1,6,コスモストーム,2,0,1,1,12,ラインジーク,12,0,0,0
20260816,2026081607020809,中京,9,未勝利,0,1,3,ロイドウェバー,1,1,1,1,14,ダノンオブアイデア,17,0,0,0
20260816,2026081607020810,中京,10,１勝ｸﾗｽ・牝,0,1,4,ベルソテイラ,13,0,0,0,14,クレマチス,7,0,0,0
20260816,2026081607020811,中京,11,１勝ｸﾗｽ,0,1,7,ルージュバロン,8,0,0,0,11,フォルナックス,4,0,0,0
20260816,2026081607020812,中京,12,未勝利,0,1,8,ガトー,8,0,0,0,8,ガトー,8,0,0,0
