race_id_16,馬番,馬名,美咲印,美咲順位,美咲_勝率,美咲_連対率
2026080901010601,12,サルトヴェローチェ,◎,1,47.742646602398324,57.338613860111046
2026080901010601,9,ハイビスカス,○,2,32.16005226712518,49.98765537282702
2026080901010601,5,シャムスクッカ,▲,3,44.978503499388665,49.24717454183914
2026080901010601,3,シンゼンノト,△,4,31.68214372239082,48.65444209589517
2026080901010601,2,マーズエクレール,×,5,48.44887496608126,47.23694635366816
2026080901010601,1,ベイビーブラザー,注,6,25.769711068483335,44.56332049569858
2026080901010601,8,ヴァイタリズム,☆,7,30.242631025161536,39.79077508029549
2026080901010601,7,カナデ,,8,23.51261607105401,37.797011266781965
2026080901010601,11,モーモーワン,,9,27.944682105120066,35.89048340041255
2026080901010601,4,エコロヴァルド,,10,21.30037765830225,33.11206040401708
2026080901010601,10,テムファイア,,11,22.892029965295226,28.203560776051965
2026080901010601,6,イチゴワタアメ,,12,16.117062900646552,23.215756955104066
2026080901010602,1,メイショウマドンナ,◎,1,59.49409126962977,68.71223253629627
2026080901010602,9,マーゴットオネイロ,○,2,53.93279736526663,60.251301242962626
2026080901010602,6,カッサンドラ,▲,3,48.288330124967906,59.721570931199196
2026080901010602,5,スイーヴル,△,4,52.87878873453267,57.7038387617285
2026080901010602,2,フジコンフィデンス,×,5,37.45631728818922,53.506002115402055
2026080901010602,12,テリオスルミ,注,6,44.182575069586306,52.46308756570001
2026080901010602,11,ロングフルスペック,☆,7,35.52745378008251,46.24586043635169
2026080901010602,8,ルクスドリーム,,8,39.248319028473524,44.6689185737869
2026080901010602,4,メイヨシュア,,9,27.420862492250862,37.89297516452365
2026080901010602,7,ラブデウザ,,10,34.54863684251517,37.76065889314527
2026080901010602,3,ケイベエ,,11,23.02333362756578,32.79075476320112
2026080901010602,10,ハクサンレイホウ,,12,20.706896005736557,28.506087612148907
2026080901010603,3,マテンロウゼロ,◎,1,44.343737731751986,52.691416821272306
2026080901010603,2,グランツローゼ,○,2,33.70548734199579,42.55045248051608
2026080901010603,6,サウンドサンライズ,▲,3,26.46199398135034,40.074236259545096
2026080901010603,9,エイカイコバチ,△,4,16.438480418386476,33.03572135760553
2026080901010603,10,メイショウテンク,×,5,16.638487659895073,28.795766008390107
2026080901010603,5,デルシエロ,注,6,18.790242238389236,27.75008418308093
2026080901010603,8,ピティロディア,☆,7,21.871404374320523,27.09526978847223
2026080901010603,4,レジェンドシップ,,8,11.27337334729308,24.2800892137952
2026080901010603,7,ストラニエーロ,,9,9.295009397922646,22.10726621639118
2026080901010603,1,エオアリイ,,10,5.08979462594125,16.47710627636499
2026080901010604,10,バンダムソレール,◎,1,54.248825609039386,66.61237369306696
2026080901010604,9,ホウオウファラオ,○,2,58.34214060869051,65.49785589278684
2026080901010604,6,メイショウセンドウ,▲,3,43.73186223448781,52.20387168859527
2026080901010604,11,サクセスゴールド,△,4,35.566730770956106,50.72537764272737
2026080901010604,8,メイショウノヴァス,×,5,40.403041298533424,46.55339682622804
2026080901010604,4,マイネルトレマーズ,注,6,39.56617305101237,46.418680038056316
2026080901010604,2,コサージュ,☆,7,32.60908056401627,38.578967994200895
2026080901010604,14,スナークホクサイ,,8,27.943773829685803,36.33678550210018
2026080901010604,1,ロジクリスエス,,9,18.731131986887437,33.95177294645465
2026080901010604,5,サクセスブルー,,10,26.388398229614236,33.35976849629604
2026080901010604,13,カプリースカラー,,11,23.49751123255553,28.58541892840299
2026080901010604,12,シーンオブドリーム,,12,17.40007897500945,23.77362860612757
2026080901010604,3,オルビスケリー,,13,15.47526768459866,21.969625165324825
2026080901010604,7,ブルーメンフェスト,,14,18.194128745871787,21.835686579207916
2026080901010605,1,ガザニア,◎,1,22.08194129843129,30.958558580865734
2026080901010605,2,アブリコース,○,2,22.08194129843129,30.958558580865734
2026080901010605,3,アスコットペスカ,▲,3,22.08194129843129,30.958558580865734
2026080901010605,4,ヌーベルフィズ,△,4,22.08194129843129,30.958558580865734
2026080901010605,5,チェッリーニ,×,5,22.08194129843129,30.958558580865734
2026080901010605,6,ソーハッピー,注,6,22.08194129843129,30.958558580865734
2026080901010605,7,ルイスイメル,☆,7,22.08194129843129,30.958558580865734
2026080901010605,8,インサイドストーム,,8,22.08194129843129,30.958558580865734
2026080901010605,9,バタフライ,,9,22.08194129843129,30.958558580865734
2026080901010605,10,アヴレディール,,10,22.08194129843129,30.958558580865734
2026080901010605,11,ウィエダンド,,11,22.08194129843129,30.958558580865734
2026080901010605,12,セイレイカ,,12,22.08194129843129,30.958558580865734
2026080901010605,13,フォルトゥナロッサ,,13,22.08194129843129,30.958558580865734
2026080901010606,11,ドンテスタマスター,◎,1,52.89233666972771,69.05865669221257
2026080901010606,7,ヘイジュード,○,2,42.85298588034209,57.57604562791063
2026080901010606,10,シャンドラファール,▲,3,54.37209450619861,57.46421583437148
