レースID(新),レース名,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード
202608090702060304,新馬,２歳,芝,2000,4,4,, ダンスコマンド,牡,2,西村淳也, 55 ,0,123.17,3,51.3,4, 0.97,15.6,,,,,10.6,新馬,3,11,A03
202608090702060305,新馬,２歳,芝,2000,5,5,, ディープナイト,牡,2,幸英明, 55 ,0,123.83,8,44.1,5, 1.63,22.8,,,,,50.0,新馬,3,11,A03
202608090702060306,新馬,２歳,芝,2000,6,6,, ドラゴンバルド,牡,2,川田将雅, 55 ,0,122.20,1,66.9,1,-0.52,-4.3,,,,,1.4,新馬,3,11,A03
202608090702060307,新馬,２歳,芝,2000,7,7,, ソウカイファンキー,牡,2,松若風馬, 55 ,0,123.36,5,43.9,6, 1.16,23.0,,,,,13.4,新馬,3,11,A03
202608090702060308,新馬,２歳,芝,2000,8,8,, リリーギャラクシー,牡,2,田口貫太, 55 ,0,123.52,6,33.0,8, 1.32,33.9,,,,,31.0,新馬,3,11,A03
202608090702060401,未勝利,３歳,ダ,1800,1,1,, レッドフレーザー,牡,3,松若風馬, 57 ,7,115.91,8,53.6,8, 1.42,26.5,,,,,9.3,未勝利,4,12,003
202608090702060402,未勝利,３歳,ダ,1800,1,2,, アルヴァルディ,牡,3,川端海翼,54▲,3,117.03,14,20.3,15, 2.54,59.8,,,,,44.0,未勝利,4,12,003
202608090702060403,未勝利,３歳,ダ,1800,2,3,, タイセイゼスティ,牡,3,横山武史, 57 ,4,115.37,5,70.8,4, 0.88, 9.3,,,,,11.5,未勝利,4,12,003
202608090702060404,未勝利,３歳,ダ,1800,2,4,, スパルタンエックス,牡,3,富田暁, 57 ,7,114.80,2,75.8,3, 0.31, 4.3,,,,,5.8,未勝利,4,12,003
202608090702060405,未勝利,３歳,ダ,1800,3,5,, アイゼンハイム,牡,3,コレット, 57 ,2,116.72,12,31.8,12, 2.23,48.3,,,,,40.8,未勝利,4,12,003
202608090702060406,未勝利,３歳,ダ,1800,3,6,, アラムシャピラス,牡,3,川田将雅, 57 ,5,114.49,1,80.1,1,-0.31,-3.5,,,,,3.3,未勝利,4,12,003
202608090702060407,未勝利,３歳,ダ,1800,4,7,, サンライズフリード,牡,3,団野大成, 57 ,6,116.15,9,40.1,10, 1.66,40.0,,,,,26.8,未勝利,4,12,003
202608090702060408,未勝利,３歳,ダ,1800,4,8,, ハオカノア,牡,3,小崎綾也, 57 ,8,115.50,6,65.0,5, 1.01,15.1,,,,,38.3,未勝利,4,12,003
202608090702060409,未勝利,３歳,ダ,1800,5,9,, グランセンチュリ,牡,3,中井裕二, 57 ,0,117.79,16,30.2,13, 3.30,49.9,,,,,52.3,未勝利,4,12,003
202608090702060410,未勝利,３歳,ダ,1800,5,10,, ビーウィナー,牡,3,秋山稔樹, 57 ,5,116.34,10,39.8,11, 1.85,40.3,,,,,39.0,未勝利,4,12,003
202608090702060411,未勝利,３歳,ダ,1800,6,11,, ジーティーピカソ,牡,3,西村淳也, 57 ,6,115.54,7,64.5,6, 1.05,15.6,,,,,24.2,未勝利,4,12,003
202608090702060412,未勝利,３歳,ダ,1800,6,12,, メイショウヒタカミ,牡,3,角田大和, 57 ,6,115.09,4,61.8,7, 0.60,18.3,,,,,23.6,未勝利,4,12,003
202608090702060413,未勝利,３歳,ダ,1800,7,13,, エイシンリブウェル,牡,3,松山弘平, 57 ,3,114.86,3,76.6,2, 0.37, 3.5,,,,,3.2,未勝利,4,12,003
202608090702060414,未勝利,３歳,ダ,1800,7,14,, リリークリスタル,牝,3,国分恭介, 55 ,5,117.18,15,21.6,14, 2.69,58.5,,,,,70.5,未勝利,4,12,003
202608090702060415,未勝利,３歳,ダ,1800,8,15,, ピースビート,牡,3,長岡禎仁, 57 ,5,116.43,11,47.0,9, 1.94,33.1,,,,,143.5,未勝利,4,12,003
202608090702060416,未勝利,３歳,ダ,1800,8,16,, サクライロマウコロ,牝,3,田口貫太, 55 ,4,116.81,13,20.1,16, 2.32,60.0,,,,,54.0,未勝利,4,12,003
202608090702060501,１勝ｸﾗｽ,３歳以上,ダ,1400,1,1,, ショウナンラウール,牝,5,永島まな,54◇,22,85.33,12,48.5,9, 0.76,24.1,,,,,27.0,1勝,5,13,003
202608090702060502,１勝ｸﾗｽ,３歳以上,ダ,1400,1,2,(地), ロイヤルテール,牡,4,藤懸貴志, 58 ,11,85.76,15,30.0,15, 1.19,42.6,,,,,73.8,1勝,5,13,003
202608090702060503,１勝ｸﾗｽ,３歳以上,ダ,1400,2,3,, ツァレヴナ,牝,3,西村淳也, 53 ,8,84.78,3,59.8,4, 0.21,12.8,,,,,25.8,1勝,5,13,003
202608090702060504,１勝ｸﾗｽ,３歳以上,ダ,1400,2,4,, ルクスポップスター,牡,3,団野大成, 55 ,5,85.03,4,57.2,6, 0.46,15.4,,,,,17.6,1勝,5,13,003
202608090702060505,１勝ｸﾗｽ,３歳以上,ダ,1400,3,5,, カクウチ,牡,3,小崎綾也, 55 ,7,85.31,11,58.9,5, 0.74,13.7,,,,,12.0,1勝,5,13,003
202608090702060506,１勝ｸﾗｽ,３歳以上,ダ,1400,3,6,(地), カレンパンピナップ,セ,6,松若風馬, 58 ,9,87.04,16,26.0,16, 2.47,46.6,,,,,17.7,1勝,5,13,003
202608090702060507,１勝ｸﾗｽ,３歳以上,ダ,1400,4,7,, ジャスティンルマン,牡,3,コレット, 55 ,8,85.15,7,51.0,7, 0.58,21.6,,,,,28.1,1勝,5,13,003
202608090702060508,１勝ｸﾗｽ,３歳以上,ダ,1400,4,8,, リアライズブライト,牡,3,森田誠也,52▲,4,85.11,6,61.4,3, 0.54,11.2,,,,,8.3,1勝,5,13,003
202608090702060509,１勝ｸﾗｽ,３歳以上,ダ,1400,5,9,, サリカリーフォリア,牝,3,西塚洸二, 53 ,6,85.16,8,44.3,12, 0.59,28.3,,,,,25.6,1勝,5,13,003
202608090702060510,１勝ｸﾗｽ,３歳以上,ダ,1400,5,10,(地), ルシャリオ,牡,4,丸山元気, 58 ,9,85.28,10,41.4,13, 0.71,31.2,,,,,25.7,1勝,5,13,003
202608090702060511,１勝ｸﾗｽ,３歳以上,ダ,1400,6,11,(地), ハイクライテリア,セ,6,柴田裕一,56△,20,85.24,9,49.6,8, 0.67,23.0,,,,,48.7,1勝,5,13,003
202608090702060512,１勝ｸﾗｽ,３歳以上,ダ,1400,6,12,, バトルアックス,牡,3,松山弘平, 55 ,4,84.60,2,70.0,2, 0.03, 2.6,,,,,5.5,1勝,5,13,003
202608090702060513,１勝ｸﾗｽ,３歳以上,ダ,1400,7,13,, オンザノアール,牝,3,幸英明, 53 ,4,85.36,13,45.2,11, 0.79,27.4,,,,,8.3,1勝,5,13,003
202608090702060514,１勝ｸﾗｽ,３歳以上,ダ,1400,7,14,, ペプチドレオン,牡,3,横山武史, 55 ,6,84.57,1,72.6,1,-0.03,-2.6,,,,,2.7,1勝,5,13,003
202608090702060515,１勝ｸﾗｽ,３歳以上,ダ,1400,8,15,, ヴァリアントマーチ,牝,4,田口貫太, 56 ,11,85.65,14,35.1,14, 1.08,37.5,,,,,65.4,1勝,5,13,003
202608090702060516,１勝ｸﾗｽ,３歳以上,ダ,1400,8,16,(地), マテンロウミラクル,牡,5,富田暁, 58 ,16,85.07,5,48.1,10, 0.50,24.5,,,,,39.2,1勝,5,13,003
202608090702060601,浜名湖特･2勝,３歳以上,芝,2000,1,1,, マイバレンタイン,牡,3,田口貫太, 55 ,4,120.33,4,55.9,4, 0.57,15.6,,,,,2.5,2勝,6,13,A04
202608090702060602,浜名湖特･2勝,３歳以上,芝,2000,2,2,, サトノアイボリー,牡,3,コレット, 55 ,7,120.09,2,68.8,2, 0.33, 2.7,,,,,3.5,2勝,6,13,A04
202608090702060603,浜名湖特･2勝,３歳以上,芝,2000,3,3,, カレントゥルーシー,牡,3,松山弘平, 55 ,6,119.76,1,56.6,3,-0.33,14.9,,,,,6.6,2勝,6,13,A04
202608090702060604,浜名湖特･2勝,３歳以上,芝,2000,4,4,, ダイヤモンドハンズ,牡,6,西村淳也, 58 ,10,121.27,6,36.5,5, 1.51,35.0,,,,,6.6,2勝,6,13,A04
202608090702060605,浜名湖特･2勝,３歳以上,芝,2000,5,5,, カリーニョ,牡,5,川田将雅, 58 ,16,120.26,3,71.5,1, 0.50,-2.7,,,,,5.1,2勝,6,13,A04
202608090702060606,浜名湖特･2勝,３歳以上,芝,2000,6,6,, ヤマニンループ,牡,7,藤懸貴志, 58 ,30,121.03,5,33.9,6, 1.27,37.6,,,,,13.3,2勝,6,13,A04
202608090702060607,浜名湖特･2勝,３歳以上,芝,2000,7,7,, ショウナンハウル,セ,5,富田暁, 58 ,26,121.75,7,26.5,7, 1.99,45.0,,,,,63.8,2勝,6,13,A04
202608090702060701,ＣＢＣ賞ＨG3,３歳以上,芝,1200,1,1,, イツモニコニコ,牝,5,藤懸貴志, 53 ,19,68.46,10,42.3,12, 0.35,27.5,,,,,35.4,Ｇ３,7,13,N04
202608090702060702,ＣＢＣ賞ＨG3,３歳以上,芝,1200,1,2,(外),$フロムダスク,牡,6,中井裕二, 55 ,26,68.56,11,39.4,15, 0.45,30.4,,,,,32.7,Ｇ３,7,13,N04
202608090702060703,ＣＢＣ賞ＨG3,３歳以上,芝,1200,2,3,, レイピア,牡,4,横山武史,57.5,19,68.11,1,69.8,1,-0.04,-2.4,,,,,4.9,Ｇ３,7,13,N04
202608090702060704,ＣＢＣ賞ＨG3,３歳以上,芝,1200,2,4,,*プロトポロス,牡,6,亀田温心, 53 ,15,68.83,17,19.9,18, 0.72,49.9,,,,,111.0,Ｇ３,7,13,N04
202608090702060705,ＣＢＣ賞ＨG3,３歳以上,芝,1200,3,5,, ジェニファー,牝,5,永島まな, 52 ,22,68.93,18,64.6,4, 0.82, 5.2,,,,,14.6,Ｇ３,7,13,N04
202608090702060706,ＣＢＣ賞ＨG3,３歳以上,芝,1200,3,6,, レッドエヴァンス,セ,5,西村淳也, 55 ,24,68.42,9,67.4,2, 0.31, 2.4,,,,,8.2,Ｇ３,7,13,N04
202608090702060707,ＣＢＣ賞ＨG3,３歳以上,芝,1200,4,7,, ディアナザール,牡,4,川田将雅, 56 ,7,68.15,2,64.6,4, 0.04, 5.2,,,,,4.6,Ｇ３,7,13,N04
202608090702060708,ＣＢＣ賞ＨG3,３歳以上,芝,1200,4,8,, フィオライア,牝,5,太宰啓介, 55 ,18,68.76,16,34.3,16, 0.65,35.5,,,,,46.0,Ｇ３,7,13,N04
202608090702060709,ＣＢＣ賞ＨG3,３歳以上,芝,1200,5,9,, クラスペディア,牡,4,小崎綾也,57.5,13,68.22,3,53.3,8, 0.11,16.5,,,,,20.3,Ｇ３,7,13,N04
202608090702060710,ＣＢＣ賞ＨG3,３歳以上,芝,1200,5,10,, ナムラローズマリー,牝,5,幸英明, 53 ,18,68.58,13,45.8,11, 0.47,24.0,,,,,42.6,Ｇ３,7,13,N04
202608090702060711,ＣＢＣ賞ＨG3,３歳以上,芝,1200,6,11,, タマモブラックタイ,牡,6,角田大和, 57 ,25,68.27,5,41.7,13, 0.16,28.1,,,,,44.6,Ｇ３,7,13,N04
202608090702060712,ＣＢＣ賞ＨG3,３歳以上,芝,1200,6,12,(外),$インビンシブルパパ,牡,5,団野大成, 58 ,14,68.36,7,40.1,14, 0.25,29.7,,,,,11.6,Ｇ３,7,13,N04
202608090702060713,ＣＢＣ賞ＨG3,３歳以上,芝,1200,7,13,, サンアントワーヌ,牝,3,丸山元気, 52 ,6,68.62,14,54.1,7, 0.51,15.7,,,,,18.4,Ｇ３,7,13,N04
202608090702060714,ＣＢＣ賞ＨG3,３歳以上,芝,1200,7,14,(外),$コウセキ,牡,4,松山弘平, 55 ,13,68.40,8,64.7,3, 0.29, 5.1,,,,,14.8,Ｇ３,7,13,N04
202608090702060715,ＣＢＣ賞ＨG3,３歳以上,芝,1200,7,15,, アンクルクロス,牡,5,松若風馬, 56 ,22,68.57,12,52.5,9, 0.46,17.3,,,,,6.9,Ｇ３,7,13,N04
202608090702060716,ＣＢＣ賞ＨG3,３歳以上,芝,1200,8,16,, アブキールベイ,牝,4,コレット,55.5,14,68.25,4,48.9,10, 0.14,20.9,,,,,46.7,Ｇ３,7,13,N04
202608090702060717,ＣＢＣ賞ＨG3,３歳以上,芝,1200,8,17,, タマモイカロス,牡,3,西塚洸二, 54 ,9,68.34,6,63.6,6, 0.23, 6.2,,,,,12.8,Ｇ３,7,13,N04
202608090702060718,ＣＢＣ賞ＨG3,３歳以上,芝,1200,8,18,, ペプチドヤマト,牡,7,高倉稜, 56 ,37,68.72,15,32.0,17, 0.61,37.8,,,,,129.2,Ｇ３,7,13,N04
202608090702060801,揖斐川特･2勝,３歳以上,ダ,1800,1,1,(地), メイショウジェンマ,牡,6,角田大和, 58 ,32,115.28,11,23.7,11, 1.56,42.9,,,,,54.8,2勝,8,13,A03
202608090702060802,揖斐川特･2勝,３歳以上,ダ,1800,2,2,, ブルックリンダンス,牡,4,コレット, 58 ,11,114.39,6,60.1,4, 0.67, 6.5,,,,,5.5,2勝,8,13,A03
202608090702060803,揖斐川特･2勝,３歳以上,ダ,1800,3,3,, タイガースパーク,牡,6,田口貫太, 58 ,26,114.27,5,51.6,7, 0.55,15.0,,,,,30.2,2勝,8,13,A03
202608090702060804,揖斐川特･2勝,３歳以上,ダ,1800,4,4,, ケイツーリーブル,牝,3,横山武史, 53 ,10,113.92,2,63.9,2, 0.20, 2.7,,,,,6.3,2勝,8,13,A03
202608090702060805,揖斐川特･2勝,３歳以上,ダ,1800,5,5,(外),$クロノスバレット,牡,4,松山弘平, 58 ,12,113.72,1,66.6,1,-0.20,-2.7,,,,,9.7,2勝,8,13,A03
202608090702060806,揖斐川特･2勝,３歳以上,ダ,1800,6,6,, ジェシーテソーロ,牡,4,富田暁, 58 ,13,115.19,9,36.3,9, 1.47,30.3,,,,,24.0,2勝,8,13,A03
202608090702060807,揖斐川特･2勝,３歳以上,ダ,1800,6,7,, トモジャザーン,牡,5,幸英明, 58 ,15,114.69,7,52.8,6, 0.97,13.8,,,,,19.0,2勝,8,13,A03
202608090702060808,揖斐川特･2勝,３歳以上,ダ,1800,7,8,, キングオブフジ,牡,5,中井裕二, 58 ,27,114.09,4,58.2,5, 0.37, 8.4,,,,,23.5,2勝,8,13,A03
202608090702060809,揖斐川特･2勝,３歳以上,ダ,1800,7,9,, ハイディージェン,セ,5,西塚洸二, 58 ,20,115.20,10,37.4,8, 1.48,29.2,,,,,41.8,2勝,8,13,A03
202608090702060810,揖斐川特･2勝,３歳以上,ダ,1800,8,10,, シュヴァルツリーベ,牝,6,藤懸貴志, 56 ,27,115.13,8,36.1,10, 1.41,30.5,,,,,35.3,2勝,8,13,A03
202608090702060811,揖斐川特･2勝,３歳以上,ダ,1800,8,11,, リベッチオ,牡,3,川田将雅, 55 ,5,114.08,3,62.7,3, 0.36, 3.9,,,,,1.7,2勝,8,13,A03
202608090702060901,障害未勝利,３歳以上,芝,3000,1,1,, ルクスマーベリック,セ,5,金子光希, 60 ,19,205.76,13,,, 7.04,,,,,,34.4,未勝利,9,18,A00
202608090702060902,障害未勝利,３歳以上,芝,3000,2,2,, アップストローク,セ,7,草野太郎, 60 ,45,203.13,9,,, 4.41,,,,,,2.5,未勝利,9,18,A00
202608090702060903,障害未勝利,３歳以上,芝,3000,3,3,, ヴィーデ,セ,4,上野翔, 60 ,16,202.91,8,,, 4.19,,,,,,38.9,未勝利,9,18,A00
202608090702060904,障害未勝利,３歳以上,芝,3000,4,4,(地), アレナリア,牝,7,小牧加矢, 58 ,44,201.00,5,,, 2.28,,,,,,6.4,未勝利,9,18,A00
202608090702060905,障害未勝利,３歳以上,芝,3000,4,5,, メイショウソウセキ,牡,4,難波剛健, 60 ,13,198.72,1,,,-1.41,,,,,,5.0,未勝利,9,18,A00
202608090702060906,障害未勝利,３歳以上,芝,3000,5,6,, ナヴァラトゥナ,牡,4,坂口智康,58△,8,200.13,2,,, 1.41,,,,,,10.1,未勝利,9,18,A00
202608090702060907,障害未勝利,３歳以上,芝,3000,5,7,, スラッシュ,牡,3,中村将之, 58 ,9,204.45,11,,, 5.73,,,,,,44.3,未勝利,9,18,A00
202608090702060908,障害未勝利,３歳以上,芝,3000,6,8,, ヴォンヌヴォー,牝,6,伴啓太, 58 ,33,203.51,10,,, 4.79,,,,,,34.8,未勝利,9,18,A00
202608090702060909,障害未勝利,３歳以上,芝,3000,6,9,, ナスノソナタ,牡,4,水沼元輝,57▲,8,205.44,12,,, 6.72,,,,,,32.3,未勝利,9,18,A00
202608090702060910,障害未勝利,３歳以上,芝,3000,7,10,, ヨシノヤッタルデー,牡,5,黒岩悠, 60 ,24,201.15,7,,, 2.43,,,,,,23.2,未勝利,9,18,A00
202608090702060911,障害未勝利,３歳以上,芝,3000,7,11,, クリアクォーツ,牡,4,大江原圭, 60 ,23,200.31,3,,, 1.59,,,,,,22.6,未勝利,9,18,A00
202608090702060912,障害未勝利,３歳以上,芝,3000,8,12,, オリンポスカズマ,牡,6,小坂忠士, 60 ,24,200.80,4,,, 2.08,,,,,,13.4,未勝利,9,18,A00
202608090702060913,障害未勝利,３歳以上,芝,3000,8,13,, アナザーエース,牡,6,五十嵐雄, 60 ,31,201.09,6,,, 2.37,,,,,,8.7,未勝利,9,18,A00
202608090702061001,１勝ｸﾗｽ,３歳以上,ダ,1200,1,1,(外),$プールナバドラ,牡,3,団野大成, 56 ,4,72.69,11,24.8,16, 0.97,46.4,,,,,15.6,1勝,10,13,A03
202608090702061002,１勝ｸﾗｽ,３歳以上,ダ,1200,1,2,, ラヴネヴァーダイズ,牡,3,松山弘平, 56 ,7,71.86,2,71.2,1, 0.14,-1.7,,,,,4.0,1勝,10,13,A03
202608090702061003,１勝ｸﾗｽ,３歳以上,ダ,1200,2,3,(外),$メイプルギャング,牡,5,柴田裕一,56△,18,72.73,12,35.1,14, 1.01,36.1,,,,,43.3,1勝,10,13,A03
202608090702061004,１勝ｸﾗｽ,３歳以上,ダ,1200,2,4,, ワイルドブッター,セ,4,高倉稜, 58 ,15,73.35,15,38.0,11, 1.63,33.2,,,,,38.9,1勝,10,13,A03
202608090702061005,１勝ｸﾗｽ,３歳以上,ダ,1200,3,5,, スレッドザニードル,牡,4,国分恭介, 58 ,10,72.57,10,50.9,10, 0.85,20.3,,,,,51.8,1勝,10,13,A03
202608090702061006,１勝ｸﾗｽ,３歳以上,ダ,1200,3,6,, リードプリンシパル,牝,4,川端海翼,53▲,16,72.96,13,37.1,13, 1.24,34.1,,,,,62.8,1勝,10,13,A03
202608090702061007,１勝ｸﾗｽ,３歳以上,ダ,1200,4,7,, シュネーグロッケン,牡,4,亀田温心, 58 ,15,72.08,4,55.2,8, 0.36,16.0,,,,,22.9,1勝,10,13,A03
202608090702061008,１勝ｸﾗｽ,３歳以上,ダ,1200,4,8,, ナウオアネヴァー,牡,3,小崎綾也, 56 ,13,72.13,5,55.1,9, 0.41,16.1,,,,,20.6,1勝,10,13,A03
202608090702061009,１勝ｸﾗｽ,３歳以上,ダ,1200,5,9,, ガビーズブラザー,牡,4,秋山稔樹, 58 ,6,73.07,14,32.0,15, 1.35,39.2,,,,,38.0,1勝,10,13,A03
202608090702061010,１勝ｸﾗｽ,３歳以上,ダ,1200,5,10,, グランデスフィーダ,牡,6,松若風馬, 58 ,28,72.28,9,69.5,2, 0.56, 1.7,,,,,4.9,1勝,10,13,A03
202608090702061011,１勝ｸﾗｽ,３歳以上,ダ,1200,6,11,(外),$アメリカンビヨンド,牡,4,西塚洸二, 58 ,9,72.17,6,63.2,3, 0.45, 8.0,,,,,7.3,1勝,10,13,A03
202608090702061012,１勝ｸﾗｽ,３歳以上,ダ,1200,6,12,(地), アイファーモービル,牡,4,藤懸貴志, 58 ,22,72.23,8,57.3,5, 0.51,13.9,,,,,20.5,1勝,10,13,A03
202608090702061013,１勝ｸﾗｽ,３歳以上,ダ,1200,7,13,, ヴォンドゥ,牝,3,森田誠也,51▲,4,72.07,3,55.5,7, 0.35,15.7,,,,,6.6,1勝,10,13,A03
202608090702061014,１勝ｸﾗｽ,３歳以上,ダ,1200,7,14,, リーグナイト,牡,3,幸英明, 56 ,5,72.20,7,56.0,6, 0.48,15.2,,,,,6.5,1勝,10,13,A03
202608090702061015,１勝ｸﾗｽ,３歳以上,ダ,1200,8,15,, サヨノパララックス,牡,3,川須栄彦, 56 ,8,71.72,1,60.9,4,-0.14,10.3,,,,,47.4,1勝,10,13,A03
202608090702061016,１勝ｸﾗｽ,３歳以上,ダ,1200,8,16,, シンギタイ,セ,4,田口貫太, 58 ,7,73.69,16,37.3,12, 1.97,33.9,,,,,44.8,1勝,10,13,A03
202608090702061101,１勝ｸﾗｽ,３歳以上,芝,1200,1,1,, フロムレイブン,牝,3,横山武史, 54 ,6,68.00,2,69.6,2, 0.43, 6.8,,,,,5.1,1勝,11,13,A03
202608090702061102,１勝ｸﾗｽ,３歳以上,芝,1200,1,2,(地), パレットフレイバー,牝,3,森田誠也,51▲,9,68.78,15,29.8,17, 1.21,46.6,,,,,145.5,1勝,11,13,A03
202608090702061103,１勝ｸﾗｽ,３歳以上,芝,1200,2,3,, モルティフレーバー,牝,4,コレット, 56 ,12,68.50,7,64.3,4, 0.93,12.1,,,,,16.9,1勝,11,13,A03
202608090702061104,１勝ｸﾗｽ,３歳以上,芝,1200,2,4,, フェリーニ,セ,5,松若風馬, 58 ,18,68.72,13,44.2,9, 1.15,32.2,,,,,12.3,1勝,11,13,A03
202608090702061105,１勝ｸﾗｽ,３歳以上,芝,1200,3,5,, マーシーラン,牝,5,国分恭介, 56 ,14,68.71,12,51.4,8, 1.14,25.0,,,,,19.7,1勝,11,13,A03
202608090702061106,１勝ｸﾗｽ,３歳以上,芝,1200,3,6,, アーリントンロウ,牡,4,国分優作, 58 ,7,68.20,3,60.9,6, 0.63,15.5,,,,,7.6,1勝,11,13,A03
202608090702061107,１勝ｸﾗｽ,３歳以上,芝,1200,4,7,, セクシーマージュ,牝,4,川須栄彦, 56 ,16,68.27,5,58.0,7, 0.70,18.4,,,,,15.7,1勝,11,13,A03
202608090702061108,１勝ｸﾗｽ,３歳以上,芝,1200,4,8,, スピリットライズ,セ,4,亀田温心, 58 ,17,68.77,14,42.7,11, 1.20,33.7,,,,,66.3,1勝,11,13,A03
202608090702061109,１勝ｸﾗｽ,３歳以上,芝,1200,5,9,, カラクニダケ,牡,3,永島まな,54◇,6,68.68,11,42.7,11, 1.11,33.7,,,,,28.2,1勝,11,13,A03
202608090702061110,１勝ｸﾗｽ,３歳以上,芝,1200,5,10,, アウクソー,牝,6,秋山稔樹, 56 ,26,68.84,16,42.8,10, 1.27,33.6,,,,,71.9,1勝,11,13,A03
202608090702061111,１勝ｸﾗｽ,３歳以上,芝,1200,6,11,, パリコレジェンヌ,牝,4,田口貫太, 56 ,14,68.67,10,41.7,14, 1.10,34.7,,,,,38.7,1勝,11,13,A03
202608090702061112,１勝ｸﾗｽ,３歳以上,芝,1200,6,12,(地), ドレドレ,牝,3,川端海翼,51▲,12,68.97,18,23.7,18, 1.40,52.7,,,,,99.4,1勝,11,13,A03
202608090702061113,１勝ｸﾗｽ,３歳以上,芝,1200,7,13,, ベランジェール,牝,5,酒井学, 56 ,15,68.65,8,38.1,16, 1.08,38.3,,,,,6.6,1勝,11,13,A03
202608090702061114,１勝ｸﾗｽ,３歳以上,芝,1200,7,14,, マーゴットミスト,牡,3,松山弘平, 56 ,10,68.25,4,76.4,1, 0.68,-6.8,,,,,6.7,1勝,11,13,A03
202608090702061115,１勝ｸﾗｽ,３歳以上,芝,1200,7,15,(外),$ウェルカムソング,牡,3,西村淳也, 56 ,6,68.66,9,66.6,3, 1.09, 9.8,,,,,8.4,1勝,11,13,A03
202608090702061116,１勝ｸﾗｽ,３歳以上,芝,1200,8,16,, ヤマニンフェイエル,牡,3,団野大成, 56 ,7,67.57,1,63.9,5,-0.43,12.5,,,,,10.9,1勝,11,13,A03
202608090702061117,１勝ｸﾗｽ,３歳以上,芝,1200,8,17,, トウカイフルーレ,牡,4,富田暁, 58 ,9,68.33,6,39.7,15, 0.76,36.7,,,,,89.0,1勝,11,13,A03
202608090702061118,１勝ｸﾗｽ,３歳以上,芝,1200,8,18,,*フランクスピード,牝,4,幸英明, 56 ,7,68.95,17,42.6,13, 1.38,33.8,,,,,22.7,1勝,11,13,A03
202608090702061201,未勝利,３歳,芝,1600,1,1,, プリュスエクラ,牝,3,団野大成, 55 ,7,93.74,6,55.3,7, 0.29,21.8,,,,,35.5,未勝利,12,12,A03
202608090702061202,未勝利,３歳,芝,1600,1,2,, ローズラフィネ,牝,3,西塚洸二, 55 ,3,93.70,5,54.0,8, 0.25,23.1,,,,,13.5,未勝利,12,12,A03
202608090702061203,未勝利,３歳,芝,1600,2,3,, レインボーステート,牡,3,コレット, 57 ,9,93.54,3,66.6,4, 0.09,10.5,,,,,6.2,未勝利,12,12,A03
202608090702061204,未勝利,３歳,芝,1600,2,4,, カステッロトゥーレ,牝,3,長岡禎仁, 55 ,4,93.93,11,47.1,9, 0.48,30.0,,,,,16.6,未勝利,12,12,A03
202608090702061205,未勝利,３歳,芝,1600,3,5,, ウォータールスール,牡,3,富田暁, 57 ,1,94.04,14,32.4,13, 0.59,44.7,,,,,7.7,未勝利,12,12,A03
202608090702061206,未勝利,３歳,芝,1600,3,6,, ジーティーウタマロ,牡,3,田口貫太, 57 ,5,93.96,12,30.5,15, 0.51,46.6,,,,,41.7,未勝利,12,12,A03
202608090702061207,未勝利,３歳,芝,1600,4,7,, ララディアーブル,牡,3,松山弘平, 57 ,6,93.65,4,70.9,2, 0.20, 6.2,,,,,6.3,未勝利,12,12,A03
202608090702061208,未勝利,３歳,芝,1600,4,8,, ヴェネラブル,牝,3,角田大和, 55 ,5,93.88,9,42.5,11, 0.43,34.6,,,,,43.2,未勝利,12,12,A03
202608090702061209,未勝利,３歳,芝,1600,5,9,, ネッカーズルム,牡,3,横山武史, 57 ,8,93.75,7,63.0,5, 0.30,14.1,,,,,14.6,未勝利,12,12,A03
202608090702061210,未勝利,３歳,芝,1600,5,10,, ブランチアウト,牡,3,幸英明, 57 ,12,93.79,8,67.1,3, 0.34,10.0,,,,,13.4,未勝利,12,12,A03
202608090702061211,未勝利,３歳,芝,1600,6,11,, スズノボンライミー,牝,3,藤懸貴志, 55 ,3,94.39,15,20.9,16, 0.94,56.2,,,,,70.2,未勝利,12,12,A03
202608090702061212,未勝利,３歳,芝,1600,6,12,, リノルアナ,牡,3,酒井学, 57 ,5,93.89,10,37.8,12, 0.44,39.3,,,,,37.6,未勝利,12,12,A03
202608090702061213,未勝利,３歳,芝,1600,7,13,, ビッグヒーロー,牡,3,川田将雅, 57 ,9,93.45,1,77.1,1,-0.06,-6.2,,,,,3.5,未勝利,12,12,A03
202608090702061214,未勝利,３歳,芝,1600,7,14,(外),$エングルマン,牡,3,川端海翼,52▲,2,94.49,16,30.6,14, 1.04,46.5,,,,,81.2,未勝利,12,12,A03
202608090702061215,未勝利,３歳,芝,1600,8,15,, ルージュソムニウム,牝,3,松若風馬, 55 ,5,93.98,13,45.8,10, 0.53,31.3,,,,,23.9,未勝利,12,12,A03
202608090702061216,未勝利,３歳,芝,1600,8,16,, ビシェノ,牝,3,西村淳也, 55 ,5,93.51,2,57.5,6, 0.06,19.6,,,,,13.6,未勝利,12,12,A03
