レースID(新),レース名,発走時刻,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード,着,血統登録番号,重量C,所属,調教師,所属,生産者,産地,種牡馬,母名,母父名
202608220102010301,未勝利,11:00,３歳,ダ,1700,1,1,, コウソクユノ,牝,3,横山琉人, 55 ,7,108.39,7,56.5,7, 1.60,23.4,,,,,44.5,未勝利,3,12,003,,2023106929,3,(美),中舘英二,美浦,ノーザンファーム,安平町,ブリックスアンドモルタル,エルディアマンテ,キングカメハメハ
202608220102010302,未勝利,11:00,３歳,ダ,1700,2,2,, パレホ,牝,3,吉村智洋, 55 ,3,110.81,13,14.8,14, 4.02,65.1,,,,,103.9,未勝利,3,12,003,,2023100985,3,(美),中川公成,美浦,庄野牧場,日高町,スワーヴリチャード,スターライラック,シニスターミニスター
202608220102010303,未勝利,11:00,３歳,ダ,1700,3,3,, ジャーナーリア,牡,3,池添謙一, 57 ,14,108.24,6,73.7,3, 1.45, 6.2,,,,,17.0,未勝利,3,12,003,,2023100596,3,(栗),本田優,栗東,厚賀古川牧場,日高町,サートゥルナーリア,ベルライン,ダイワメジャー
202608220102010304,未勝利,11:00,３歳,ダ,1700,3,4,, イーサンミラー,牡,3,ヘルナン, 57 ,7,108.07,3,63.5,5, 1.28,16.4,,,,,9.2,未勝利,3,12,003,,2023106657,3,(美),稲垣幸雄,美浦,目名太山口牧場,浦河町,ウインブライト,アースヴィグラス,サウスヴィグラス
202608220102010305,未勝利,11:00,３歳,ダ,1700,4,5,, ロジマギー,牝,3,丹内祐次, 55 ,4,109.14,11,45.7,8, 2.35,34.2,,,,,20.0,未勝利,3,12,003,,2023107361,3,(美),宮田敬介,美浦,ノーザンファーム,安平町,ハービンジャー,ロジマギーゴー,ハーツクライ
202608220102010306,未勝利,11:00,３歳,ダ,1700,4,6,, ハイランダー,牡,3,石川倭, 57 ,6,109.02,10,40.5,9, 2.23,39.4,,,,,54.0,未勝利,3,12,003,,2023103504,3,(美),古賀大生,美浦,社台ファーム,千歳市,スワーヴリチャード,パンズラビリンス,メイショウサムソン
202608220102010307,未勝利,11:00,３歳,ダ,1700,5,7,, レーヌペスカ,牝,3,古川吉洋, 55 ,3,109.74,12,30.5,12, 2.95,49.4,,,,,85.4,未勝利,3,12,003,,2023103193,3,(栗),角田晃一,栗東,藤原牧場,新ひだか町,クリソベリル,プリンセスペスカ,チーフベアハート
202608220102010308,未勝利,11:00,３歳,ダ,1700,5,8,, メイショウセンドウ,牡,3,横山和生, 57 ,10,107.16,2,79.9,1, 0.37,-1.3,,,,,5.3,未勝利,3,12,003,,2023101756,3,(栗),飯田祐史,栗東,高昭牧場,浦河町,ホッコータルマエ,ルンルンクオリティ,ヴィクトワールピサ
202608220102010309,未勝利,11:00,３歳,ダ,1700,6,9,, モンロワイヤル,牡,3,ナレドゥ, 57 ,7,108.23,5,65.7,4, 1.44,14.2,,,,,8.0,未勝利,3,12,003,,2023100926,3,(栗),牧浦充徳,栗東,下河辺牧場,日高町,フィレンツェファイア,サンドスラッシュ,"Holy Roman Emperor"
202608220102010310,未勝利,11:00,３歳,ダ,1700,6,10,, ルージュラベル,牝,3,長浜鴻緒,54☆,3,108.45,8,38.2,11, 1.66,41.7,,,,,24.8,未勝利,3,12,003,,2023106624,3,(美),鹿戸雄一,美浦,坂東牧場,平取町,エピファネイア,レッドベルディエス,ディープインパクト
