レースID(新),レース名,発走時刻,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード,着,血統登録番号,重量C,所属,調教師,所属,生産者,産地,種牡馬,母名,母父名
202608230102020101,未勝利・牝,10:00,３歳,ダ,1000,1,1,, アーミル,牝,3,小沢大仁, 55 ,4,61.19,11,17.5,11, 1.52,68.9,,,,,,未勝利,1,12,023,,2023107002,3,(栗),高柳大輔,栗東,ノーザンファーム,安平町,シルバーステート,コロナシオン,キングカメハメハ
202608230102020102,未勝利・牝,10:00,３歳,ダ,1000,2,2,, アッシュグレイス,牝,3,古川奈穂,53◇,2,61.34,12,13.2,12, 1.67,73.2,,,,,,未勝利,1,12,023,,2023102404,3,(美),上原博之,美浦,岡田スタツド,新ひだか町,ウインブライト,ピッツネイル,クロフネ
202608230102020103,未勝利・牝,10:00,３歳,ダ,1000,3,3,, アイビーミャーオ,牝,3,横山武史, 55 ,7,59.67,1,86.4,1,-0.40,-10.2,,,,,,未勝利,1,12,023,,2023101755,3,(栗),小林真也,栗東,高昭牧場,浦河町,フォーウィールドライブ,ルンルンキャット,キングヘイロー
202608230102020104,未勝利・牝,10:00,３歳,ダ,1000,4,4,, ルーチェコメット,牝,3,松山弘平, 55 ,4,60.27,3,52.4,6, 0.60,34.0,,,,,,未勝利,1,12,023,,2023102456,3,(栗),長谷川浩,栗東,岡田牧場,新ひだか町,ダノンキングリー,ヴェリタスマリコ,キングカメハメハ
202608230102020105,未勝利・牝,10:00,３歳,ダ,1000,5,5,, シェイプオブユー,牝,3,川又賢治, 55 ,6,60.37,4,48.9,7, 0.70,37.5,,,,,,未勝利,1,12,023,,2023100544,3,(栗),吉村圭司,栗東,坂東牧場,平取町,タワーオブロンドン,ジェントルヴァウ,"Broken Vow"
202608230102020106,未勝利・牝,10:00,３歳,ダ,1000,5,6,, ニシノギャルズ,牝,3,吉村智洋, 55 ,6,60.07,2,55.9,5, 0.40,30.5,,,,,,未勝利,1,12,023,,2023100360,3,(美),水野貴広,美浦,前田ファーム,新ひだか町,セイウンコウセイ,フィールドボニータ,コロナドズクエスト
202608230102020107,未勝利・牝,10:00,３歳,ダ,1000,6,7,, トリアングルレディ,牝,3,横山琉人, 55 ,4,60.82,8,38.0,9, 1.15,48.4,,,,,,未勝利,1,12,023,,2023105161,3,(美),尾関知人,美浦,大北牧場,浦河町,ダノンバラード,プリンシプルレディ,アグネスデジタル
202608230102020108,未勝利・牝,10:00,３歳,ダ,1000,6,8,, ロングフルスペック,牝,3,古川吉洋, 55 ,6,60.49,5,64.4,4, 0.82,22.0,,,,,,未勝利,1,12,023,,2023103167,3,(栗),大根田裕,栗東,フジワラフアーム,新ひだか町,フォーウィールドライブ,バトルムーングロウ,アドマイヤムーン
202608230102020109,未勝利・牝,10:00,３歳,ダ,1000,7,9,, ペイシャクロス,牝,3,長浜鴻緒,54☆,5,60.59,7,70.1,3, 0.92,16.3,,,,,,未勝利,1,12,023,,2023102999,3,(美),粕谷昌央,美浦,友田牧場,新ひだか町,ニシケンモノノフ,ペイシャプレゼント,ノヴェリスト
202608230102020110,未勝利・牝,10:00,３歳,ダ,1000,7,10,, ベルグランボヌール,牝,3,小林美駒,52▲,3,60.86,9,37.1,10, 1.19,49.3,,,,,,未勝利,1,12,023,,2023106824,3,(栗),須貝尚介,栗東,ノーザンファーム,安平町,モーリス,アウェイク,ディープインパクト
202608230102020111,未勝利・牝,10:00,３歳,ダ,1000,8,11,, アジーザム,牝,3,和田陽希,52▲,6,61.02,10,39.2,8, 1.35,47.2,,,,,,未勝利,1,12,023,,2023102951,3,(美),松尾卓哉,美浦,千代田牧場,新ひだか町,ドレフォン,ミッキーバディーラ,ディープインパクト
202608230102020112,未勝利・牝,10:00,３歳,ダ,1000,8,12,, メイショウマドンナ,牝,3,吉田隼人, 55 ,8,60.55,6,76.2,2, 0.88,10.2,,,,,,未勝利,1,12,023,,2023104999,3,(栗),荒川義之,栗東,三嶋牧場,浦河町,フィレンツェファイア,ウイングルイーズ,ハーツクライ
202608230102020201,未勝利*,10:30,２歳,芝,1500,1,1,, デザートスピリット,牡,2,ルメール, 55 ,2,88.39,1,72.4,2,-0.04, 5.1,,,,,,未勝利,2,11,A03,,2024101022,3,(美),平岩大典,美浦,碧雲牧場,日高町,イスラボニータ,ツキノサバク,"Oasis Dream"
202608230102020202,未勝利*,10:30,２歳,芝,1500,2,2,, トムクリオーザ,牡,2,小沢大仁, 55 ,1,91.74,10,26.6,11, 3.35,50.9,,,,,,未勝利,2,11,A03,,2024106216,3,(栗),藤原英昭,栗東,ノーザンファーム,安平町,エピファネイア,エクセレンス2,"Champs Elysees"
202608230102020203,未勝利*,10:30,２歳,芝,1500,3,3,, リーゼントエース,牡,2,池添謙一, 55 ,2,91.86,11,44.7,7, 3.47,32.8,,,,,,未勝利,2,11,A03,,2024104845,3,(栗),矢作芳人,栗東,畠山牧場,新ひだか町,エフフォーリア,リーゼントアイリス,キングズベスト
202608230102020204,未勝利*,10:30,２歳,芝,1500,4,4,, シガレス,牝,2,和田陽希,52▲,2,91.45,8,57.9,4, 3.06,19.6,,,,,,未勝利,2,11,A03,,2024105402,3,(栗),武幸四郎,栗東,田湯牧場,新ひだか町,マテラスカイ,ワイングラス,スペシャルウィーク
202608230102020205,未勝利*,10:30,２歳,芝,1500,5,5,, ティアラード,牝,2,横山武史, 55 ,1,90.68,3,77.5,1, 2.29,-5.1,,,,,,未勝利,2,11,A03,,2024106091,3,(栗),小栗実,栗東,社台ファーム,千歳市,シスキン,レッドマニッシュ,シンボリクリスエス
202608230102020206,未勝利*,10:30,２歳,芝,1500,5,6,, セールデュクール,牝,2,小林美駒,52▲,1,92.60,12,19.3,12, 4.21,58.2,,,,,,未勝利,2,11,A03,,2024103622,3,(美),深山雅史,美浦,ビッグレッドファーム,新冠町,ベンバトル,ブルーバード,リーチザクラウン
202608230102020207,未勝利*,10:30,２歳,芝,1500,6,7,, サンシルヴァリー,牝,2,川又賢治, 55 ,2,91.35,6,37.6,10, 2.96,39.9,,,,,,未勝利,2,11,A03,,2024103507,3,(栗),西村真幸,栗東,ハクレイファーム,新冠町,オメガパフューム,エフティマイア,フジキセキ
202608230102020208,未勝利*,10:30,２歳,芝,1500,6,8,, サンレガート,牡,2,浜中俊, 55 ,1,91.40,7,55.9,5, 3.01,21.6,,,,,,未勝利,2,11,A03,,2024100210,3,(美),堀内岳志,美浦,加藤ステーブル,日高町,マクフィ,エミレーツガール,"Lizard Island"
202608230102020209,未勝利*,10:30,２歳,芝,1500,7,9,, アルデシンザン,牡,2,丹内祐次, 55 ,2,91.32,4,53.5,6, 2.93,24.0,,,,,,未勝利,2,11,A03,,2024105809,3,(美),矢野英一,美浦,社台ファーム,千歳市,レイデオロ,カラクレナイ,ローエングリン
202608230102020210,未勝利*,10:30,２歳,芝,1500,7,10,, ウィルレーヴィア,牡,2,横山琉人, 55 ,2,91.34,5,41.4,8, 2.95,36.1,,,,,,未勝利,2,11,A03,,2024106849,3,(美),尾形和幸,美浦,エスティファーム,日高町,トーセンレーヴ,トーセンフルヴィア,ゴールドシップ
202608230102020211,未勝利*,10:30,２歳,芝,1500,8,11,, シークレットタワー,牡,2,古川奈穂,53◇,2,91.73,9,40.8,9, 3.34,36.7,,,,,,未勝利,2,11,A03,,2024102983,3,(美),金成貴史,美浦,柏木一則,新冠町,タワーオブロンドン,ピュアシークレット,フェノーメノ
202608230102020212,未勝利*,10:30,２歳,芝,1500,8,12,, ムッチリスタイル,牡,2,岩田望来, 55 ,1,88.43,2,71.7,3, 0.04, 5.8,,,,,,未勝利,2,11,A03,,2024100119,3,(栗),佐藤悠太,栗東,"VERSAILLES STABLE",日高町,スワーヴリチャード,ジャポニカスタイル,キングズベスト
